Bait,Prey,Abundance,Reproduce,Specificity ,MIST,Virus
NS2B3,Q9BS26,0.001392898,0.938948011,0.957148002,0.874317597,DENV
NS2B3,Q9NWU2,0.001758423,0.909589119,0.967790625,0.870137522,DENV
NS2B3,Q96S59,0.000273447,0.8237127,1,0.858321321,DENV
NS2B3,Q8IZ41,0.000183649,0.79612048,1,0.84865686,DENV
NS2B3,P61604,0.000911186,0.740345071,1,0.82919367,DENV
NS2B3,Q9H7D7,0.000435396,0.735938252,1,0.82761322,DENV
NS2B3,O95817,5.15378E-05,0.521254814,1,0.752443308,DENV
NS2B3,Q8IZY2,6.46288E-05,0.51858133,1,0.751508636,DENV
NS2B3,P78363,5.69151E-05,0.512207703,1,0.749277249,DENV
NS2B3,O43852,0.000163039,0.506690616,1,0.747354759,DENV
NS2B3,Q8TDM6,1.98005E-05,0.497861068,1,0.744252958,DENV
NS2B3,Q7L5Y9,9.38123E-05,0.493658448,1,0.742787962,DENV
NS2B3,Q15526,0.00019332,0.477673317,1,0.737201127,DENV
NS2B3,P34932,0.003940096,0.941846237,0.706210848,0.732501574,DENV
NS2B3,O95757,0.001370219,0.733353936,0.814455029,0.721022862,DENV
NS2B3,Q5TAQ9,2.47154E-05,0.427469476,1,0.719616294,DENV
NS2B3,P09496,0.000104801,0.424033277,1,0.718420031,DENV
NS2B3,O95399,0.000378869,0.420636548,1,0.717253101,DENV
NS2B3,O76071,5.16674E-05,0.388422729,1,0.705952088,DENV
NS2B3,Q9UHV9,0.000773964,0.836364085,0.693444224,0.688052555,DENV
NS2B3,Q92598,0.002521976,0.95079263,0.584352894,0.666060328,DENV
NS2B3,Q96T17,1.26599E-05,0.268290698,1,0.663902757,DENV
NS2B3,Q9NZ71,1.06103E-05,0.263767968,1,0.662319638,DENV
NS2B3,Q9C0C2,7.80361E-06,0.263767968,1,0.662319413,DENV
NS2B3,Q8N5D0,1.88657E-05,0.263189021,1,0.662117667,DENV
NS2B3,Q08426,2.106E-05,0.262815149,1,0.661986987,DENV
NS2B3,P67775,0.000184087,0.252160247,1,0.658270813,DENV
NS2B3,Q6RI45,9.56361E-06,0.237537402,1,0.653138856,DENV
NS2B3,Q9UBF2,5.10073E-05,0.218929511,1,0.646629409,DENV
NS2B3,P04049,1.47882E-05,0.217444108,1,0.646106621,DENV
NS2B3,Q9H497,0.000197926,0.585121087,0.772659304,0.645224018,DENV
NS2B3,Q8WWI1,1.42873E-05,0.198989012,1,0.639647297,DENV
NS2B3,Q9UNE7,0.000734939,0.834374549,0.606127826,0.637582748,DENV
NS2B3,Q04837,0.000491846,0.671141103,0.699569449,0.63369332,DENV
NS2B3,P78318,0.000157477,0.564621961,0.759516847,0.630554887,DENV
NS2B3,Q9H871,0.000211725,0.165781885,1,0.628040598,DENV
NS2B3,Q16543,0.000109319,0.164578265,1,0.627611138,DENV
NS2B3,Q9NYU1,0.000249757,0.103614423,1,0.606285029,DENV
NS2B3,Q6VN20,0.000326606,0.102808256,1,0.606009018,DENV
NS2B3,P10809,0.009472203,0.925693517,0.470428653,0.592894839,DENV
NS2B3,Q96T58,2.12044E-05,0.054069146,1,0.588925897,DENV
NS2B3,Q9UBL6,0.00018843,0.093042499,0.973196056,0.587301701,DENV
NS2B3,Q9BRK5,0.000560736,0.681252696,0.592262807,0.576073103,DENV
NS2B3,Q92945,6.65132E-05,0.164578265,0.903045962,0.572343912,DENV
NS2B3,P50120,0.001057878,3.89871E-11,1,0.57008463,DENV
NS2B3,Q86UD0,0.000776324,3.89871E-11,1,0.570062106,DENV
NS2B3,O95868,0.00060572,3.89871E-11,1,0.570048458,DENV
NS2B3,Q8IU53,0.00048147,3.89871E-11,1,0.570038518,DENV
NS2B3,Q9Y3C6,0.000455208,3.89871E-11,1,0.570036417,DENV
NS2B3,Q6ZT77,0.000401654,3.89871E-11,1,0.570032132,DENV
NS2B3,Q5QHF1,0.000329427,3.89871E-11,1,0.570026354,DENV
NS2B3,Q9NRX4,0.000300437,3.89871E-11,1,0.570024035,DENV
NS2B3,Q9NQV5,0.000285587,3.89871E-11,1,0.570022847,DENV
NS2B3,O43247,0.000269209,3.89871E-11,1,0.570021537,DENV
NS2B3,Q8NFK1,0.00026447,3.89871E-11,1,0.570021158,DENV
NS2B3,Q8N1X5,0.000252045,3.89871E-11,1,0.570020164,DENV
NS2B3,O75935,0.000196621,3.89871E-11,1,0.57001573,DENV
NS2B3,Q3B7J2,0.000195597,3.89871E-11,1,0.570015648,DENV
NS2B3,Q9BQE4,0.000195597,3.89871E-11,1,0.570015648,DENV
NS2B3,Q9NZE8,0.000192588,3.89871E-11,1,0.570015407,DENV
NS2B3,Q16774,0.000190633,3.89871E-11,1,0.570015251,DENV
NS2B3,Q8NI28,0.000185914,3.89871E-11,1,0.570014873,DENV
NS2B3,Q969X0,0.000172269,3.89871E-11,1,0.570013782,DENV
NS2B3,Q92914,0.000165439,3.89871E-11,1,0.570013235,DENV
NS2B3,Q9NSD7,0.000161874,3.89871E-11,1,0.57001295,DENV
NS2B3,O00429,0.00015143,3.89871E-11,1,0.570012114,DENV
NS2B3,Q9BSH5,0.000147853,3.89871E-11,1,0.570011828,DENV
NS2B3,P12544,0.000142793,3.89871E-11,1,0.570011423,DENV
NS2B3,Q8WUE5,0.000142253,3.89871E-11,1,0.57001138,DENV
NS2B3,Q86Z20,0.000141183,3.89871E-11,1,0.570011295,DENV
NS2B3,Q15149,0.000139839,3.89871E-11,1,0.570011187,DENV
NS2B3,P43166,0.000139608,3.89871E-11,1,0.570011169,DENV
NS2B3,P01920,0.000138069,3.89871E-11,1,0.570011046,DENV
NS2B3,O95096,0.000137563,3.89871E-11,1,0.570011005,DENV
