Bait,Prey,Abundance,Reproduce,Specificity ,MIST,Virus
NS4A,Q12981,0.003864338,0.987449269,1,0.915916391,DENV
NS4A,Q9Y6C9,0.001212136,0.983439567,1,0.914300819,DENV
NS4A,Q96N66,0.000686179,0.977854318,1,0.912303906,DENV
NS4A,P08240,0.001456262,0.996764757,0.985239147,0.91057048,DENV
NS4A,Q9Y6M9,0.001020543,0.972321731,1,0.910394249,DENV
NS4A,Q969X5,0.000396052,0.96829158,1,0.908933737,DENV
NS4A,P42167,0.001095463,0.943940842,1,0.900466932,DENV
NS4A,Q8IYS2,0.000383319,0.943432614,1,0.90023208,DENV
NS4A,O96000,0.002073991,0.938604925,0.993846623,0.895170218,DENV
NS4A,Q8N5K1,0.000717248,0.887925235,1,0.880831212,DENV
NS4A,P60059,0.00346176,0.92565812,0.954055083,0.86806868,DENV
NS4A,O43615,0.000380047,0.987698469,0.911547474,0.865306928,DENV
NS4A,P28331,0.000449098,0.908363416,0.95858384,0.864355912,DENV
NS4A,Q9Y3E0,0.000339896,0.823556962,1,0.858272128,DENV
NS4A,O43759,0.000197586,0.823297861,1,0.858170058,DENV
NS4A,Q9H330,5.3663E-05,0.823195998,1,0.858122893,DENV
NS4A,Q9HD45,0.000700452,0.993592236,0.893770401,0.857262447,DENV
NS4A,Q99442,0.000350934,0.810789133,1,0.853804271,DENV
NS4A,Q9UEU0,0.000461997,0.804572173,1,0.85163722,DENV
NS4A,Q9BRQ6,0.000566533,0.799841892,1,0.849989985,DENV
NS4A,Q5BKT4,0.000165301,0.785680949,1,0.845001556,DENV
NS4A,Q9P0L0,0.000867482,0.785149635,1,0.844871771,DENV
NS4A,Q9NVH1,0.000589018,0.894075089,0.932053063,0.844243648,DENV
NS4A,Q13535,5.38105E-05,0.774441327,1,0.841058769,DENV
NS4A,Q8WUY1,0.000606814,0.763732767,1,0.837355014,DENV
NS4A,Q9Y289,0.000109025,0.797795385,0.965730851,0.829703692,DENV
NS4A,Q96AG4,0.001792724,0.958841707,0.866465325,0.82962325,DENV
NS4A,Q9NUQ2,0.000246514,0.739766772,1,0.828938091,DENV
NS4A,Q99720,0.000978121,0.726968693,1,0.824517292,DENV
NS4A,Q5BJH7,0.000699989,0.947744877,0.862575744,0.82343488,DENV
NS4A,P57105,0.000625413,0.764205316,0.971959105,0.821538583,DENV
NS4A,Q9P2W9,0.000499136,0.860320546,0.908488989,0.818990846,DENV
NS4A,A6NIZ1,0.000184523,0.709936855,1,0.818492661,DENV
NS4A,Q9P2X0,0.000400962,0.70767461,1,0.817718191,DENV
NS4A,A0FGR8,0.000885594,0.961052704,0.844283528,0.817680905,DENV
NS4A,Q92616,0.002210936,0.981307331,0.831269941,0.817458307,DENV
NS4A,P30825,0.000315419,0.940432476,0.853435481,0.815634824,DENV
NS4A,Q96EC8,0.000524366,0.798020986,0.938991932,0.814574696,DENV
NS4A,P49768,9.30793E-05,0.694049668,1,0.81292483,DENV
NS4A,Q5VT66,0.000163595,0.690034421,1,0.811525135,DENV
NS4A,Q9Y5M8,0.002439334,0.992705644,0.812138246,0.810560923,DENV
NS4A,O75431,0.001049149,0.805173037,0.924968662,0.809126632,DENV
NS4A,Q10471,8.11883E-05,0.677281332,1,0.807054961,DENV
NS4A,O15173,0.000375632,0.674651883,1,0.80615821,DENV
