Bait,Prey,Abundance,Reproduce,Specificity ,MIST,Virus
NS5,Q9NYF8,0.000303364,0.913067662,1,0.889597951,DENV
NS5,Q9Y5B9,0.000578911,0.926375118,0.978549209,0.882050653,DENV
NS5,O95218,0.002587772,0.896047428,0.986193666,0.875954011,DENV
NS5,Q8N7H5,0.000835216,0.85828093,1,0.870465143,DENV
NS5,Q96ST2,0.000420397,0.838678231,1,0.863571013,DENV
NS5,Q9GZU8,0.001109401,0.827245999,1,0.859624852,DENV
NS5,P45973,0.000341307,0.772660799,1,0.840458584,DENV
NS5,Q9Y2W1,0.00025336,0.76947373,0.979880741,0.827868097,DENV
NS5,Q92688,0.001654991,0.734120825,1,0.827074688,DENV
NS5,Q9UKD2,0.001671725,0.900403035,0.896540398,0.826302827,DENV
NS5,Q8WVC0,0.000238575,0.824018491,0.938128283,0.823158679,DENV
NS5,Q8NAV1,0.000237833,0.713111914,1,0.819608197,DENV
NS5,Q8IUD2,0.000119932,0.68025373,1,0.8080984,DENV
NS5,Q9UPP1,5.90976E-05,0.662309587,1,0.801813083,DENV
NS5,Q9UPT8,0.000182288,0.927113376,0.818851714,0.791249741,DENV
NS5,P11388,2.33604E-05,0.624125372,1,0.788445749,DENV
NS5,O43719,0.000166393,0.620218989,1,0.787089958,DENV
NS5,Q8WUD4,0.000457127,0.618393558,1,0.786474315,DENV
NS5,Q6PD62,0.000155509,0.617112729,1,0.786001896,DENV
NS5,P55081,0.00060977,0.613413986,1,0.784743677,DENV
NS5,Q9P258,0.000594912,0.581687758,1,0.773638308,DENV
NS5,Q9BUQ8,3.23982E-05,0.564173928,1,0.767463467,DENV
NS5,O95059,0.000216128,0.551686016,1,0.763107396,DENV
NS5,Q99873,0.000133547,0.540480629,1,0.759178904,DENV
NS5,Q9H5V9,0.000108731,0.535629672,1,0.757479084,DENV
NS5,O75643,0.000471116,0.886657158,0.775165867,0.752212239,DENV
NS5,Q15020,5.13334E-05,0.499514177,1,0.744834069,DENV
NS5,Q9BWE0,3.10922E-05,0.493970824,1,0.742892276,DENV
NS5,O60828,0.000231087,0.481049353,1,0.738385761,DENV
NS5,P63220,0.012161306,0.890473387,0.744044411,0.736743904,DENV
NS5,O60306,1.75799E-05,0.476402235,1,0.736742189,DENV
NS5,Q9P013,0.000180258,0.476290834,1,0.736716212,DENV
NS5,P39687,0.00079172,0.459649394,1,0.730940626,DENV
NS5,P09012,0.001766147,0.840757876,0.762296921,0.728915793,DENV
NS5,Q9UI30,0.000216147,0.443981699,1,0.725410886,DENV
NS5,Q9UQ80,0.000107614,0.443183664,1,0.725122891,DENV
NS5,Q6P2Q9,0.00038425,0.917145094,0.698176469,0.71899211,DENV
NS5,P08579,0.000979596,0.834593041,0.746519278,0.71770192,DENV
NS5,Q9ULW3,0.000161328,0.622357485,0.873356893,0.715651455,DENV
NS5,Q9H501,4.10523E-05,0.415552661,1,0.715446715,DENV
NS5,Q99700,5.23008E-05,0.528614306,0.927160718,0.7135008,DENV
NS5,O43684,0.000313826,0.740082258,0.791768069,0.710361695,DENV
NS5,O43423,0.000249146,0.396028875,1,0.708630038,DENV
NS5,Q6ZUT1,4.92061E-05,0.395495272,1,0.708427282,DENV
NS5,Q14331,4.18728E-05,0.393953961,1,0.707887236,DENV
NS5,Q92979,7.16511E-05,0.392621635,1,0.707423304,DENV
NS5,Q92917,2.40712E-05,0.392360533,1,0.707328112,DENV
NS5,P98179,0.004780436,0.958974469,0.65112662,0.707165672,DENV
NS5,Q7Z4V5,5.73837E-05,0.389490155,1,0.706326145,DENV
NS5,O14602,0.000111084,0.38940018,1,0.70629895,DENV
NS5,O94992,3.98428E-05,0.384354122,1,0.70452713,DENV
NS5,Q9BWU0,1.97756E-05,0.383607625,1,0.704264251,DENV
NS5,Q6P1J9,0.000451842,0.692754094,0.808466381,0.703325917,DENV
NS5,Q96CT7,6.38309E-05,0.378792518,1,0.702582488,DENV
NS5,Q9H814,5.47686E-05,0.377848983,1,0.702251525,DENV
NS5,P53999,0.000105425,0.374274035,1,0.701004346,DENV
NS5,P08621,0.001821524,0.883062942,0.68712994,0.700881818,DENV
NS5,Q9NUQ9,9.11788E-05,0.369277071,1,0.699254269,DENV
NS5,Q96P11,3.87625E-05,0.367389837,1,0.698589544,DENV
NS5,O43395,4.89294E-05,0.367023501,1,0.69846214,DENV
NS5,Q9Y3B9,0.000332796,0.755828968,0.758951268,0.697168985,DENV
NS5,Q96C57,7.03193E-05,0.357718859,1,0.695207226,DENV
NS5,Q8N5F7,0.000185781,0.669945993,0.792656626,0.686310237,DENV
NS5,P14678,0.001955084,0.833293277,0.690277524,0.685267242,DENV
NS5,Q6DD87,8.32204E-05,0.509155526,0.883337777,0.681713624,DENV
NS5,O95926,9.35075E-05,0.315348471,1,0.680379446,DENV
NS5,Q15459,5.57286E-05,0.310309776,1,0.67861288,DENV
NS5,Q9P2N5,2.22069E-05,0.30910485,1,0.678188474,DENV
NS5,Q9BWJ5,0.000978717,0.525029591,0.865361161,0.677094516,DENV
NS5,Q01105,0.003331335,0.927336575,0.615538999,0.675691538,DENV
NS5,P09234,0.00278792,0.920388142,0.616397605,0.673705519,DENV
NS5,Q01130,0.00281912,0.943130365,0.601682377,0.673280112,DENV
NS5,P55769,0.000740464,0.829847124,0.653174947,0.662815451,DENV
NS5,P09038,4.88808E-05,0.249786771,1,0.65742928,DENV
NS5,Q9Y547,4.60734E-05,0.249786771,1,0.657429056,DENV
NS5,O00193,3.70591E-05,0.249786771,1,0.657428335,DENV
NS5,Q9Y5U2,2.18553E-05,0.249786771,1,0.657427118,DENV
NS5,Q9NWT1,2.63165E-05,0.249427546,1,0.657301746,DENV
NS5,Q6NUN9,1.44556E-05,0.249400528,1,0.657291341,DENV
NS5,Q14241,1.27946E-05,0.249326672,1,0.657265359,DENV
NS5,O60508,1.54366E-05,0.249151093,1,0.657204117,DENV
NS5,O60231,3.9284E-05,0.248899308,1,0.657117901,DENV
NS5,O95297,5.75279E-05,0.247103105,1,0.656490689,DENV
NS5,Q96EU6,2.80209E-05,0.247103116,1,0.656488332,DENV
NS5,O94906,4.30368E-05,0.555597561,0.809805564,0.656051761,DENV
NS5,Q99848,3.6181E-05,0.245350555,1,0.655875589,DENV
